,player,org,region,rounds,rating,KD,ACS,KAST,ADR,KPR,APR,FKPR,FDPR,HS,CS,KILLS,DEATHS,ASSISTS,FK,FD,KMAX
0,Meteor,['GEN'],"['INT', 'PACIFIC']",112,1.28,1.63,262.4,76,173.8,0.99,0.19,0.13,0.11,37,23,111,68,21,14,12,28
1,keznit,['KRÜ'],"['NA', 'INT']",92,1.28,1.31,259.2,76,175.0,0.87,0.33,0.16,0.07,23,,80,61,30,15,6,18
2,trexx,['VIT'],"['INT', 'EMEA']",108,1.26,1.37,234.6,75,161.0,0.82,0.39,0.09,0.05,25,25,89,65,42,10,5,26
3,RieNs,['TH'],"['INT', 'EMEA']",147,1.22,1.33,221.5,73,147.9,0.80,0.23,0.08,0.05,34,24,118,89,34,12,8,28
4,Sacy,['SEN'],"['NA', 'INT']",80,1.22,1.16,224.3,79,152.2,0.74,0.56,0.09,0.05,21,8,59,51,45,7,4,19
5,Smoggy,['EDG'],"['INT', 'CHINA']",114,1.18,1.40,229.4,75,142.2,0.83,0.31,0.08,0.08,26,29,95,68,35,9,9,23
6,heat,['KRÜ'],"['NA', 'INT']",92,1.17,1.32,209.4,80,138.8,0.82,0.25,0.08,0.04,33,8,75,57,23,7,4,21
7,aspas,['LEV'],"['NA', 'INT']",108,1.16,1.26,236.8,71,157.8,0.84,0.20,0.19,0.10,31,,91,72,22,21,11,23
8,kiNgg,['LEV'],"['NA', 'INT']",108,1.16,1.25,205.0,78,130.1,0.74,0.38,0.08,0.11,34,36,80,64,41,9,12,25
9,Kai,['TE'],"['INT', 'CHINA']",131,1.16,1.20,221.7,69,149.9,0.79,0.20,0.15,0.11,30,7,103,86,26,20,15,25
10,primmie,['TLN'],"['INT', 'PACIFIC']",85,1.15,1.32,243.0,74,152.4,0.88,0.27,0.08,0.06,37,13,75,57,23,7,5,22
11,icy,['G2'],"['NA', 'INT']",112,1.13,1.14,217.2,69,140.9,0.78,0.19,0.12,0.11,28,8,87,76,21,13,12,24
12,BuZz,['DRX'],"['INT', 'PACIFIC']",96,1.13,1.34,267.0,71,169.7,0.94,0.15,0.24,0.15,18,,90,67,14,23,14,24
13,Karon,['GEN'],"['INT', 'PACIFIC']",112,1.12,1.21,202.6,75,124.5,0.76,0.46,0.08,0.06,34,27,85,70,52,9,7,23
14,Melser,['KRÜ'],"['NA', 'INT']",92,1.12,0.93,191.4,74,123.9,0.61,0.43,0.10,0.12,27,20,56,60,40,9,11,22
15,Kicks,['VIT'],"['INT', 'EMEA']",108,1.12,0.99,196.4,72,120.6,0.64,0.55,0.06,0.07,20,20,69,70,59,6,8,22
16,CHICHOO,['EDG'],"['INT', 'CHINA']",114,1.12,1.20,218.8,78,141.8,0.75,0.30,0.16,0.07,29,17,85,71,34,18,8,21
17,qRaxs,['FUT'],"['INT', 'EMEA']",45,1.12,1.12,173.5,76,109.9,0.62,0.33,0.04,0.02,26,22,28,25,15,2,1,15
18,Alfajer,['FNC'],"['INT', 'EMEA']",82,1.12,1.25,240.8,74,164.6,0.87,0.22,0.11,0.09,31,33,71,57,18,9,7,25
19,hiro,['FNC'],"['INT', 'EMEA']",82,1.11,1.02,182.0,77,117.9,0.65,0.33,0.05,0.10,31,33,53,52,27,4,8,19
20,LuoK1ng,"['TYL', 'TE']","['INT', 'CHINA']",131,1.10,1.22,220.0,78,138.4,0.82,0.34,0.09,0.04,37,,107,88,44,12,5,27
21,t3xture,['GEN'],"['INT', 'PACIFIC']",112,1.10,1.10,229.4,69,152.9,0.78,0.19,0.18,0.13,25,11,87,79,21,20,14,24
22,valyn,['G2'],"['NA', 'INT']",112,1.10,1.18,209.4,74,127.2,0.75,0.37,0.07,0.06,21,12,84,71,41,8,7,19
23,Shyy,['KRÜ'],"['NA', 'INT']",92,1.09,1.16,211.6,66,140.5,0.78,0.26,0.14,0.12,25,31,72,62,24,13,11,23
24,Chronicle,['FNC'],"['INT', 'EMEA']",82,1.06,1.02,195.3,68,130.5,0.67,0.24,0.13,0.10,23,13,55,54,20,11,8,19
25,Autumn,['FPX'],"['INT', 'CHINA']",115,1.06,1.12,211.8,71,134.5,0.75,0.23,0.17,0.10,32,15,86,77,27,19,11,20
26,Wo0t,['TH'],"['INT', 'EMEA']",147,1.05,1.01,190.7,76,124.5,0.68,0.35,0.07,0.09,36,27,100,99,52,10,13,25
27,Derke,['FNC'],"['INT', 'EMEA']",82,1.05,1.09,211.8,62,131.8,0.74,0.18,0.13,0.13,19,,61,56,15,11,11,19
28,TenZ,['SEN'],"['NA', 'INT']",80,1.05,1.05,207.8,76,132.7,0.73,0.36,0.11,0.11,21,,58,55,29,9,9,19
29,benjyfishy,['TH'],"['INT', 'EMEA']",147,1.04,1.04,200.2,71,136.7,0.73,0.25,0.07,0.14,37,14,108,104,37,10,20,23
